"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
21,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Kamoe","Hamamatsu","29",24000000,"2LDK","55",,"","","","1996","","","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","Done",""
22,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Kamoe","Hamamatsu","26",1600000,"1K","15",,"","","","1989","RC","House","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","Done",""
23,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Kamoe","Hamamatsu","30-60minutes",550000,"1K","15",,"","","","1984","RC","","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","Done",""
24,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Kitaterajimacho","Hamamatsu","10",5100000,"","55",,"Square Shaped","7.5","","","","","Office","Northeast","City Road",6.0,"Commercial District",80,500,"4th quarter 2017","",""
25,"Residential Land(Land Only)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Kidocho","Hamamatsu","15",21000000,"","200",100000,"Rectangular Shaped","6.2","","","","","","North","National Highway",19.0,"Commercial District",80,400,"4th quarter 2017","",""
26,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Saiwai","Hamamatsu","30-60minutes",27000000,"","220",,"&quot;Flag-shaped&quot; etc.","2.5","105","2017","W","House","House","Southwest","City Road",7.2,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","",""
27,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Saiwai","Hamamatsu","30-60minutes",25000000,"","220",,"Irregular Shaped","12.0","135","1988","LS","House","House","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"4th quarter 2017","",""
28,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Saiwai","Hamamatsu","30-60minutes",20000000,"","210",98000,"Rectangular Shaped","8.0","","","","","Other","East","City Road",8.7,"Near Commercial District",80,200,"4th quarter 2017","",""
29,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Sato","Hamamatsu","21",21000000,"","200",100000,"Semi-shaped","21.0","","","","","House","West","City Road",4.0,"Near Commercial District",80,200,"4th quarter 2017","",""
30,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Sanarudai","Hamamatsu","30-60minutes",220000000,"","760",,"Irregular Shaped","32.0","840","2017","RC","Housing Complex","House","Northwest","City Road",5.5,"Category 2 Residential District",60,200,"4th quarter 2017","",""
31,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Sanarudai","Hamamatsu","30-60minutes",17000000,"2LDK","75",,"","","","","","House","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","Done",""
32,"Residential Land(Land Only)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Shiomachi","Hamamatsu","9",4900000,"","45",110000,"Rectangular Shaped","6.0","","","","","Other","West","National Highway",20.0,"Commercial District",80,400,"4th quarter 2017","",""
33,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Shikatanicho","Hamamatsu","29",14000000,"","530",27000,"Semi-rectangular Shaped","29.0","","","","","","North","Private Road",4.0,"Category 2 Residential District",60,200,"4th quarter 2017","",""
34,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Shijimizuka","Hamamatsu","30-60minutes",65000000,"","440",,"Semi-trapezoidal Shaped","19.5","250","1983","S","Other","Other","West","City Road",8.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","",""
35,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Shijimizuka","Hamamatsu","30-60minutes",9300000,"3LDK","65",,"","","","1986","","","Other","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"4th quarter 2017","Not yet",""
36,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Shimoikegawacho","Hamamatsu","23",17000000,"","200",,"Semi-rectangular Shaped","15.4","105","1978","W","House","House","Southwest","City Road",2.5,"Category 2 Residential District",60,200,"4th quarter 2017","",""
37,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Sukenobucho","Hamamatsu","24",20000000,"","80",,"","","","2004","RC","House","House","","",,"Commercial District",80,400,"4th quarter 2017","",""
38,"Residential Land(Land and Building)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Sunayamacho","Hamamatsu","4",150000000,"","550",,"Semi-shaped","11.0","430","1964","W","Shop","Other","North","City Road",25.0,"Commercial District",80,500,"4th quarter 2017","",""
39,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Sumiyoshi","Hamamatsu","30-60minutes",23000000,"","250",,"Irregular Shaped","18.0","85","2010","W","House","House","East","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",40,60,"4th quarter 2017","",""
40,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokakita","Hamamatsu","1H30-2H",29000000,"","240",,"Semi-rectangular Shaped","12.5","180","1994","S","Housing Complex, Office","Other","Northeast","City Road",8.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
41,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokakita","Hamamatsu","1H30-2H",8500000,"3LDK","70",,"","","","1992","","","House","","",,"Category 1 Residential District",60,200,"4th quarter 2017","Not yet",""
42,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokakita","Hamamatsu","1H30-2H",12000000,"4LDK","85",,"","","","1999","","","House","","",,"Category 1 Residential District",60,200,"4th quarter 2017","Not yet",""
43,"Residential Land(Land Only)","Industrial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokanishi","Hamamatsu","1H30-2H",6300000,"","105",60000,"Rectangular Shaped","2.5","","","","","Other","Southeast","City Road",24.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
44,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokanishi","Hamamatsu","1H30-2H",23000000,"","400",,"Semi-rectangular Shaped","22.0","230","1991","LS","Housing Complex","House","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
45,"Residential Land(Land Only)","Industrial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokanishi","Hamamatsu","1H30-2H",28000000,"","370",76000,"Semi-square Shaped","15.0","","","","","","Southwest","City Road",6.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
46,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokanishi","Hamamatsu","1H30-2H",41000000,"","175",,"Semi-rectangular Shaped","10.8","110","2017","W","House","House","Northeast","City Road",12.0,"Industrial District",60,200,"4th quarter 2017","",""
47,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokahigashi","Hamamatsu","1H30-2H",32000000,"","260",,"Semi-rectangular Shaped","12.0","210","1995","RC","House","House","Southeast","City Road",6.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
48,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokahigashi","Hamamatsu","1H30-2H",16000000,"","230",70000,"Semi-rectangular Shaped","11.5","","","","","","Northwest","City Road",6.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
49,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokahigashi","Hamamatsu","1H30-2H",28000000,"","130",,"Semi-rectangular Shaped","9.5","100","2017","W","House","House","Northeast","City Road",6.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
50,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takaokahigashi","Hamamatsu","1H30-2H",28000000,"","480",59000,"Semi-rectangular Shaped","","","","","","","Northwest","City Road",6.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
51,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Takamachi","Hamamatsu","23",37000000,"3LDK","85",,"","","","2014","RC","House","House","","",,"Category 2 Residential District",60,200,"4th quarter 2017","Not yet",""
52,"Residential Land(Land and Building)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Tamachi","Hamamatsu","7",160000000,"","155",,"Semi-trapezoidal Shaped","12.0","1100","1968","SRC","Shop","Other","East","City Road",20.0,"Commercial District",80,600,"4th quarter 2017","",""
53,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Chuo","Hamamatsu","12",29000000,"2LDK","65",,"","","","2007","RC","House","House","","",,"Commercial District",80,400,"4th quarter 2017","Not yet",""
54,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Chuo","Hamamatsu","9",23000000,"3LDK","75",,"","","","2000","","","House","","",,"Commercial District",80,400,"4th quarter 2017","Not yet",""
55,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Chuo","Hamamatsu","10",30000000,"4LDK","150",,"","","","","RC","House","House","","",,"Commercial District",80,400,"4th quarter 2017","Not yet",""
56,"Residential Land(Land and Building)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Terajimacho","Hamamatsu","11",52000000,"","240",,"Rectangular Shaped","22.0","135","2012","W","Shop, Other","Shop","Southwest","City Road",6.0,"Near Commercial District",80,300,"4th quarter 2017","",""
57,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Terajimacho","Hamamatsu","11",1700000,"1K","20",,"","","","1991","SRC","","House","","",,"Near Commercial District",80,300,"4th quarter 2017","Not yet",""
58,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Tenjimmachi","Hamamatsu","26",25000000,"","310",81000,"Rectangular Shaped","11.3","","","","","Other","South","City Road",5.4,"Category 1 Residential District",60,200,"4th quarter 2017","",""
59,"Residential Land(Land and Building)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Tenjimmachi","Hamamatsu","25",6200000,"","85",,"Rectangular Shaped","5.5","140","1979","W","House, Shop","Other","South","National Highway",19.0,"Near Commercial District",80,300,"4th quarter 2017","",""
60,"Residential Land(Land Only)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Tomitsukacho","Hamamatsu","1H-1H30",25000000,"","270",94000,"Rectangular Shaped","13.5","","","","","House","Northwest","City Road",8.0,"Category 1 Exclusive Low Rise Residential District",50,80,"4th quarter 2017","",""
61,"Residential Land(Land and Building)","Residential Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Tomitsukacho","Hamamatsu","30-60minutes",13000000,"","150",,"Rectangular Shaped","","115","1991","W","House","House","West","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"4th quarter 2017","",""
62,"Residential Land(Land and Building)","Commercial Area","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Tomitsukacho","Hamamatsu","1H-1H30",120000000,"","560",,"Irregular Shaped","30.0","680","2012","RC","House","House","Southwest","Prefectural Road",18.0,"Category 1 Residential District",60,200,"4th quarter 2017","",""
63,"Pre-owned Condominiums, etc.","","22131","Shizuoka Prefecture","Naka Ward,Hamamatsu City","Nakazawacho","Hamamatsu","28",1000000,"2K","25",,"","","","1991","","House","House","","",,"Commercial District",80,400,"4th quarter 2017","Not yet",""
